sentence1,sentence2,score
i learnt so much about the wonderful world of beaubronz and feel this lovely tanning brand fits perfectly with my latest mantra stolen from my boudoir lashes mother asma docrat,i learnt so much about the wonderful world of beaubronz and feel this lovely tanning brand fits perfectly with my latest mantra stolen from my boudoir lashes mother asma docrat,0.0
i feel like my beloved mixer is an extension of my body,i feel like my beloved mixer is an extension of my body,0.0
i feel to have these amazing people in my life,i feel to have these amazing people in my life,0.0
i am feeling extremely pleased with myself and i decide to give the guy another rupees,i am feeling extremely pleased with myself and i decide to give the guy another rupees,0.0
i know my feelings being kinda numb pathetic and full of sorrow about a useless thing called love,i know my feelings being kinda numb pathetic and full of sorrow about a useless thing called love,0.0
i don t feel unwelcome there,i don t feel unwelcome there,0.0
i feel the tug of the fabric against my thighs and butt i am overwhelmed with the feeling that i am just too fat,i feel the tug of the fabric against my thighs and butt i am overwhelmed with the feeling that i am just too fat,0.0
i can t help but think that oakwood must feel unwelcome on our campus,i can t help but think that oakwood must feel unwelcome on our campus,0.0
i know this makes me a bitch and a half but i cannot help but feel a little triumphant when i see an old nemesis come into my workplace pregnant kid in tow fat husband waiting in the pickup truck rushed and clearly unhappy,i know this makes me a bitch and a half but i cannot help but feel a little triumphant when i see an old nemesis come into my workplace pregnant kid in tow fat husband waiting in the pickup truck rushed and clearly unhappy,0.0
i am totally enamoured with this dress it is so flowy and lovely perfect for a warm summer day it feels really romantic and springy and i am so so excited to show you all,i am totally enamoured with this dress it is so flowy and lovely perfect for a warm summer day it feels really romantic and springy and i am so so excited to show you all,0.0
i am feeling quite weepy can you get rid of them and she did,i am feeling quite weepy can you get rid of them and she did,0.0
i feel pleasantly mellow regardless,i feel pleasantly mellow regardless,0.0
i feel that im fine without him,i feel that im fine without him,0.0
i feel i hate him like i have never ever hated anyone like that but i cant stop looking at his existing symbol,i feel i hate him like i have never ever hated anyone like that but i cant stop looking at his existing symbol,0.0
i alive i feel so defeated with this issue,i alive i feel so defeated with this issue,0.0
i am feeling very fearful that things arent going to go the way i want them to with my ex,i am feeling very fearful that things arent going to go the way i want them to with my ex,0.0
i feel it is unfortunate that the community has had little more than weeks to evaluate this solution prior to the more drastic way stop proposal coming to a vote at public works,i feel it is unfortunate that the community has had little more than weeks to evaluate this solution prior to the more drastic way stop proposal coming to a vote at public works,0.0
i need to act cool act unconcern to him so that he wont feel he is special he is appreciated so that i feel safe that he couldnt see the truth sides of me im so tired of covering all the real feelings,i need to act cool act unconcern to him so that he wont feel he is special he is appreciated so that i feel safe that he couldnt see the truth sides of me im so tired of covering all the real feelings,0.0
i love the feeling of running in the cold when you can see your breath and cold air seems to refresh you from the inside out,i love the feeling of running in the cold when you can see your breath and cold air seems to refresh you from the inside out,0.0
i will not go into details from that long night but i woke up for our am bus feeling like i could barely stand and not trusting the pit in my stomach,i will not go into details from that long night but i woke up for our am bus feeling like i could barely stand and not trusting the pit in my stomach,0.0
i also feel angry and mad and bitter because we nor anyone should have to do it,i also feel angry and mad and bitter because we nor anyone should have to do it,0.0
i have a feeling this will be a good soap for january,i have a feeling this will be a good soap for january,0.0
i like doing leaving me feel inadaquate under valued and under appreciated,i like doing leaving me feel inadaquate under valued and under appreciated,0.0
i am feeling weird and feel wanna know,i am feeling weird and feel wanna know,0.0
i feel fearful seeing this bridge an emotional tith sam ath whose year old son died in the disaster told afp,i feel fearful seeing this bridge an emotional tith sam ath whose year old son died in the disaster told afp,0.0
im feeling weird,im feeling weird,0.0
i know how it feels to suffer pain and sorrow and loneliness and to know that mom is suffering because of her illness,i know how it feels to suffer pain and sorrow and loneliness and to know that mom is suffering because of her illness,0.0
i remember a totally different feel having been a faithful dukes watcher growing up,i remember a totally different feel having been a faithful dukes watcher growing up,0.0
i feel unwelcome and out of place buti cant decide if i am just too scared to do anything about this ok situation or if i am staying here in this dead end situation because i am afraid things will get worse,i feel unwelcome and out of place buti cant decide if i am just too scared to do anything about this ok situation or if i am staying here in this dead end situation because i am afraid things will get worse,0.0
i just feel too stubborn to give up on a dream,i just feel too stubborn to give up on a dream,0.0
i feel special i would like to take this moment to thank everyone who sent out their warm birthday wishes and greetings it made me feel special,i feel special i would like to take this moment to thank everyone who sent out their warm birthday wishes and greetings it made me feel special,0.0
i feel totally ungrateful and extremely lucky,i feel totally ungrateful and extremely lucky,0.0
i loved how all his pack mates bonded with her the touchy feely way they were with each other was sweet,i loved how all his pack mates bonded with her the touchy feely way they were with each other was sweet,0.0
i am appalled that i feel violent toward another human being,i am appalled that i feel violent toward another human being,0.0
i feel hate whoever that love me or caring towards me,i feel hate whoever that love me or caring towards me,0.0
i completely lose ability to segregate my feelings with my actions is when they are rude and hurtful to their father and my husband who is also my hero and best friend and heart,i completely lose ability to segregate my feelings with my actions is when they are rude and hurtful to their father and my husband who is also my hero and best friend and heart,0.0
i actually feel embarrassed,i actually feel embarrassed,0.0
i guess and by am i was feeling really melancholy and sad for the people in the movie the heavy use of the cello in the soundtrack makes anything seem sad,i guess and by am i was feeling really melancholy and sad for the people in the movie the heavy use of the cello in the soundtrack makes anything seem sad,0.0
i feel as though i am living the world of opposites where a long cold winter is a sign of global warming free speech is only free as long as it is practiced in the echo chamber of political correctness and the u,i feel as though i am living the world of opposites where a long cold winter is a sign of global warming free speech is only free as long as it is practiced in the echo chamber of political correctness and the u,0.0
i hope someday when i am again in a position to give that i will remember how it feels and be sympathetic and sensitive to others,i hope someday when i am again in a position to give that i will remember how it feels and be sympathetic and sensitive to others,0.0
i feel extremely blessed and lucky that my company believes in me enough to let cut my hours down and that am so thankful to all of you my readers for reading what i have to say on here,i feel extremely blessed and lucky that my company believes in me enough to let cut my hours down and that am so thankful to all of you my readers for reading what i have to say on here,0.0
i stepped outside and became annoyed because the temperature was warm and it was raining it felt as if the weather was conspiring to keep me from feeling festive,i stepped outside and became annoyed because the temperature was warm and it was raining it felt as if the weather was conspiring to keep me from feeling festive,0.0
i feel like my creativity is running low like a dying battery,i feel like my creativity is running low like a dying battery,0.0
i feel very honoured that i evoke so much emotion in you that would drive you to put in so much effort for me,i feel very honoured that i evoke so much emotion in you that would drive you to put in so much effort for me,0.0
i think i still feel numb,i think i still feel numb,0.0
i feel heartless now feeling bored and not believe in love anymore,i feel heartless now feeling bored and not believe in love anymore,0.0
i think they ll be sexy but will also make me feel more confident than the teeny tiny itsy bitsy bottoms that seem to be in vogue,i think they ll be sexy but will also make me feel more confident than the teeny tiny itsy bitsy bottoms that seem to be in vogue,0.0
i was at the cinema with my sister and her boyfriend a man sitting beside me started to stroke my leg for a while,i was at the cinema with my sister and her boyfriend a man sitting beside me started to stroke my leg for a while,0.0
i feel depressed i will sing,i feel depressed i will sing,0.0
i did not picture myself feeling shy in this class when i signed up for it,i did not picture myself feeling shy in this class when i signed up for it,0.0
we had come back from a programme and we were all three girls staying over at another girls placce one of them started passing very nasty and outright bitchy remarks at me it was brought on by a male colleagues compliments to me,we had come back from a programme and we were all three girls staying over at another girls placce one of them started passing very nasty and outright bitchy remarks at me it was brought on by a male colleagues compliments to me,0.0
i feel paranoid that every time i log onto facebook or attend church that im about to find out yet another friend is pregnant,i feel paranoid that every time i log onto facebook or attend church that im about to find out yet another friend is pregnant,0.0
i understand that chronically living makes some healthy people feel threatened or afraid,i understand that chronically living makes some healthy people feel threatened or afraid,0.0
i feel rude for ignoring your plea for help and its all your fault,i feel rude for ignoring your plea for help and its all your fault,0.0
i seem to be feeling a little less anxious this week but i sure wish that i could check on her every week at the doctor instead of the that are scheduled,i seem to be feeling a little less anxious this week but i sure wish that i could check on her every week at the doctor instead of the that are scheduled,0.0
i wish i could live here all year round but then it probably would lose the getaway feel that i find so precious,i wish i could live here all year round but then it probably would lose the getaway feel that i find so precious,0.0
i wont go on into a full in depth review of it just say why i feel its the superior version,i wont go on into a full in depth review of it just say why i feel its the superior version,0.0
i found working out of detroit specialized in christian literature lol im feeling a little grouchy tonight,i found working out of detroit specialized in christian literature lol im feeling a little grouchy tonight,0.0
i feel fantastic and i find that i have a renewed sense of strength and endurance,i feel fantastic and i find that i have a renewed sense of strength and endurance,0.0
i wasnt actually a registered conference goer well i was in one dealing with sexual abuse in the gay community that kind of awoken some feelings i had repressed for a long time,i wasnt actually a registered conference goer well i was in one dealing with sexual abuse in the gay community that kind of awoken some feelings i had repressed for a long time,0.0
i hope to god it is a false reading because i feel so unprotected without him,i hope to god it is a false reading because i feel so unprotected without him,0.0
im feeling a little melancholy tonight days ago,im feeling a little melancholy tonight days ago,0.0
im feeling easily irritable lately too,im feeling easily irritable lately too,0.0
i feel that the most intelligent people are the ones who pay attention to the world around them and think about an issue before they pass judgment on it or make a decision as to where they stand,i feel that the most intelligent people are the ones who pay attention to the world around them and think about an issue before they pass judgment on it or make a decision as to where they stand,0.0
i might i could not stress to her how important it is to me not to expose my friends to a situation where they may have cause to feel unwelcome or uncomfortable,i might i could not stress to her how important it is to me not to expose my friends to a situation where they may have cause to feel unwelcome or uncomfortable,0.0
i feel like i get easily distracted in making things and switch around to many different projects throughout a week,i feel like i get easily distracted in making things and switch around to many different projects throughout a week,0.0
i feel inside cause life is like a game sometimes then you came around me the walls just disappeared nothing to surround me and keep me from my fears im unprotected see how ive opened up oh youve made me trust cause ive never felt like this before im naked around you does it show,i feel inside cause life is like a game sometimes then you came around me the walls just disappeared nothing to surround me and keep me from my fears im unprotected see how ive opened up oh youve made me trust cause ive never felt like this before im naked around you does it show,0.0
i could feel the radiant heat of emanating from her naked sex reaching longingly for the probing tip of my hardness,i could feel the radiant heat of emanating from her naked sex reaching longingly for the probing tip of my hardness,0.0
i am standing in my oversized tee shirt baggy yoga pants pulled up hair already semi sweat streaked from spin and am trying to feel graceful and sexy,i am standing in my oversized tee shirt baggy yoga pants pulled up hair already semi sweat streaked from spin and am trying to feel graceful and sexy,0.0
i sent her was pretty long and now i feel a little embarrassed looking back at the letter i gave her,i sent her was pretty long and now i feel a little embarrassed looking back at the letter i gave her,0.0
i would love to go into this for two reasons i care about how people feel and im a very sweet person so i think id be good at it and helping them get through it,i would love to go into this for two reasons i care about how people feel and im a very sweet person so i think id be good at it and helping them get through it,0.0
i am sure there will be many nervous times ahead but today i feel very hopeful and im going to enjoy the feeling for as long as it sticks around,i am sure there will be many nervous times ahead but today i feel very hopeful and im going to enjoy the feeling for as long as it sticks around,0.0
i feel like there is too much suffering for those of us in christ jesus,i feel like there is too much suffering for those of us in christ jesus,0.0
i feel a bit foolish even bothering to post anything on fridays,i feel a bit foolish even bothering to post anything on fridays,0.0
i can t believe i feel so petrified,i can t believe i feel so petrified,0.0
i totally laughed out loud at the first statement and then the second statement made me feel kind of sad,i totally laughed out loud at the first statement and then the second statement made me feel kind of sad,0.0
i feel i must write you owls until i am fearless and brave,i feel i must write you owls until i am fearless and brave,0.0
i feel eager to begin and excited at the prospect of the personal growth and deepening of my relationship with christ which i expect to see over the course of the next days,i feel eager to begin and excited at the prospect of the personal growth and deepening of my relationship with christ which i expect to see over the course of the next days,0.0
i have a feeling that many of you will be surprised to learn that after nearly years it s time for me to say goodbye as your guide to entertaining,i have a feeling that many of you will be surprised to learn that after nearly years it s time for me to say goodbye as your guide to entertaining,0.0
i feel like i have a plan that will make me happy and allow me to help my family better in so many ways,i feel like i have a plan that will make me happy and allow me to help my family better in so many ways,0.0
im out of the game yet but with two weeks left to go and having only been up for a week ive got to say that im feeling discouraged,im out of the game yet but with two weeks left to go and having only been up for a week ive got to say that im feeling discouraged,0.0
im better than the rest of you feeling but a feeling of being accepted,im better than the rest of you feeling but a feeling of being accepted,0.0
i feel my readership has been severely damaged to the point where it will take a very long time to build it back up,i feel my readership has been severely damaged to the point where it will take a very long time to build it back up,0.0
i feel i find i felt target blank clasheen by nicola brown a href http keepmeinstitchez,i feel i find i felt target blank clasheen by nicola brown a href http keepmeinstitchez,0.0
i feel like shes just so distracted but when it comes to my year old brother she waits on him hand and foot,i feel like shes just so distracted but when it comes to my year old brother she waits on him hand and foot,0.0
im fine mary anne answered feeling a little impatient,im fine mary anne answered feeling a little impatient,0.0
i cannot remember in which mix i heard this first and not remembering it is making me feeling all irritable,i cannot remember in which mix i heard this first and not remembering it is making me feeling all irritable,0.0
i feel homesick and it doesn,i feel homesick and it doesn,0.0
i suggest you give it a listen i feel like i am blessed,i suggest you give it a listen i feel like i am blessed,0.0
i nodded proud of my decision to procure a pump feeling slightly smug,i nodded proud of my decision to procure a pump feeling slightly smug,0.0
i am feeling a little more confident i haven t totally lost my mojo but time is running out,i am feeling a little more confident i haven t totally lost my mojo but time is running out,0.0
i may not have been posting actively but fortunately i keep a camera pen and notebook where ever i go so whenever i feel very passionate about something i write or take many photos,i may not have been posting actively but fortunately i keep a camera pen and notebook where ever i go so whenever i feel very passionate about something i write or take many photos,0.0
i feel lousy about how much i have to study,i feel lousy about how much i have to study,0.0
i had an epiphany that i should feel proud of myself img src http expansiveperspective,i had an epiphany that i should feel proud of myself img src http expansiveperspective,0.0
i said you are not focused with me and when you are not focused with me i feel unimportant,i said you are not focused with me and when you are not focused with me i feel unimportant,0.0
i feel people are scared of me or given up on me,i feel people are scared of me or given up on me,0.0
i have no idea why i was feeling so lethargic yesterday probably because i got a bit dehydrated,i have no idea why i was feeling so lethargic yesterday probably because i got a bit dehydrated,0.0
i feel very rich today,i feel very rich today,0.0
i feel so remorseful for that day all those shits i said to you,i feel so remorseful for that day all those shits i said to you,0.0
i was feeling resentful enough to want to write about it here which means i need to work on look getting my hackles raised when others judge me,i was feeling resentful enough to want to write about it here which means i need to work on look getting my hackles raised when others judge me,0.0
i still feel mentally in the game but a string of unfortunate events most i haven t written about had me sitting on the sidelines temporarily,i still feel mentally in the game but a string of unfortunate events most i haven t written about had me sitting on the sidelines temporarily,0.0
i not feel resentful for always putting out more effort then ever receiving,i not feel resentful for always putting out more effort then ever receiving,0.0
i feel pretty rotten when i cant,i feel pretty rotten when i cant,0.0
i feel like i should be spending this precious last half hour of ness and doing something fun and interesting to roll into my new year and by not doing so im letting myself down,i feel like i should be spending this precious last half hour of ness and doing something fun and interesting to roll into my new year and by not doing so im letting myself down,0.0
i should feel pissed,i should feel pissed,0.0
i feel fearful because i dont know what is going to happen next in the course of me recovering,i feel fearful because i dont know what is going to happen next in the course of me recovering,0.0
i hear you loud and clear that this is an important issue for you but in the grand scheme of things i cant help but feel that this is so petty,i hear you loud and clear that this is an important issue for you but in the grand scheme of things i cant help but feel that this is so petty,0.0
a gigantic spider climbed over my face and what is more in my own flat,a gigantic spider climbed over my face and what is more in my own flat,0.0
i was feeling pretty anxious and overwhelmed as a friend rightly noted probably because i was on a boat with my mom grandmother and great aunt and no where to flee except the damn cold baltic sea,i was feeling pretty anxious and overwhelmed as a friend rightly noted probably because i was on a boat with my mom grandmother and great aunt and no where to flee except the damn cold baltic sea,0.0
i feel i had benefited more from last year s creative futures but could this be in part that the information i had learnt last year i was already putting into practice and therefore this year s sessions were what i was already doing rather than inspiring me to start,i feel i had benefited more from last year s creative futures but could this be in part that the information i had learnt last year i was already putting into practice and therefore this year s sessions were what i was already doing rather than inspiring me to start,0.0
i feel so paranoid and im really gonna cut down the hours and frequencies of me wearing contact lenses,i feel so paranoid and im really gonna cut down the hours and frequencies of me wearing contact lenses,0.0
i begin to feel even more agitated as i realize that keith has detoured for a tourist stop in another small mountain village on the way to xela,i begin to feel even more agitated as i realize that keith has detoured for a tourist stop in another small mountain village on the way to xela,0.0
i feel strange actually sitting beside some people i don t know,i feel strange actually sitting beside some people i don t know,0.0
i make a mistake i cringe feel idiotic and become filled with self loathing,i make a mistake i cringe feel idiotic and become filled with self loathing,0.0
i secretly feel unimportant anyways and as such find people to disrespect me which might explain why i lend this doucher my time my energy and my body and let his needs get met b my own,i secretly feel unimportant anyways and as such find people to disrespect me which might explain why i lend this doucher my time my energy and my body and let his needs get met b my own,0.0
i am already feeling frantic,i am already feeling frantic,0.0
i almost feel like he was trying to be awkward,i almost feel like he was trying to be awkward,0.0
i am feeling very shaky,i am feeling very shaky,0.0
i am happy to see that he is off with hopefully a good job but i can t help feel a little greedy,i am happy to see that he is off with hopefully a good job but i can t help feel a little greedy,0.0
i felt so sick watching and feeling helpless,i felt so sick watching and feeling helpless,0.0
i feel like i ve been beaten up by an american footballer then run over by a london bus,i feel like i ve been beaten up by an american footballer then run over by a london bus,0.0
i really feel like this year will be a mellow one,i really feel like this year will be a mellow one,0.0
i feel that they were just as surprised to be sharing my dream as i was to have them sharing it,i feel that they were just as surprised to be sharing my dream as i was to have them sharing it,0.0
i could have been cooped up in a motel feeling very depressed and alone until my flight home,i could have been cooped up in a motel feeling very depressed and alone until my flight home,0.0
i am expected to be monogamous which to me feels like i am being faithful to someone who is with someone else,i am expected to be monogamous which to me feels like i am being faithful to someone who is with someone else,0.0
i try not to complain or show them my attacks because they feel so helpless like any parent would,i try not to complain or show them my attacks because they feel so helpless like any parent would,0.0
i think honestly i did feel a bit vulnerable,i think honestly i did feel a bit vulnerable,0.0
i feel creative right now and it makes me happy,i feel creative right now and it makes me happy,0.0
i wish i could say hey you know if i died tomorrow i wouldnt feel cheated on life or regretful that i didnt accomplish something,i wish i could say hey you know if i died tomorrow i wouldnt feel cheated on life or regretful that i didnt accomplish something,0.0
i grieve my losses and then feel ashamed because the little way has the essential component of my life well lived i get to tell someone about jesus love,i grieve my losses and then feel ashamed because the little way has the essential component of my life well lived i get to tell someone about jesus love,0.0
i feel like i instantly became an addison reed super collector hours ago,i feel like i instantly became an addison reed super collector hours ago,0.0
i was told it would make my arms go numb but i didnt feel anything numb about it as they pricked my arm with their so called baby iv,i was told it would make my arms go numb but i didnt feel anything numb about it as they pricked my arm with their so called baby iv,0.0
i just feel more and more like not caring about what people think of me as long as im happy with myself i love you and your personality and everything,i just feel more and more like not caring about what people think of me as long as im happy with myself i love you and your personality and everything,0.0
i am happpy when i get good results in the field of academics or athletics,i am happpy when i get good results in the field of academics or athletics,0.0
i feel this book explains things well and is easy to use,i feel this book explains things well and is easy to use,0.0
i do feel lonely at times and at times i still feel that i am alone,i do feel lonely at times and at times i still feel that i am alone,0.0
i feel irritable as well,i feel irritable as well,0.0
i know that this lady is a real athlete but this morning i am not thinking of her athletic abilities i am feeling that i am so pleased that it is jonti and her that are doing this long event and not me,i know that this lady is a real athlete but this morning i am not thinking of her athletic abilities i am feeling that i am so pleased that it is jonti and her that are doing this long event and not me,0.0
i dont care how churchy or cheesy i sound right now its such a truth i feel in my heart that im so convinced its him i cant make this stuff up on my own,i dont care how churchy or cheesy i sound right now its such a truth i feel in my heart that im so convinced its him i cant make this stuff up on my own,0.0
im starting to feel unwelcome in life and some people can already tell this,im starting to feel unwelcome in life and some people can already tell this,0.0
i was trying to think of anywhere else ive been that made me feel so awful awful awful,i was trying to think of anywhere else ive been that made me feel so awful awful awful,0.0
i also feel ungrateful after hearing stories from my grandma about people she knew at hospitals or nursing homes who had no one to talk to at all and for whom simple small talk was a huge step,i also feel ungrateful after hearing stories from my grandma about people she knew at hospitals or nursing homes who had no one to talk to at all and for whom simple small talk was a huge step,0.0
i bet taylor swift basks in the knowledge that the boys she writes songs about probably feel tortured,i bet taylor swift basks in the knowledge that the boys she writes songs about probably feel tortured,0.0
i feel he was eager to help,i feel he was eager to help,0.0
i knew i was just feeling unsure amp scared and so i let it overpower me and i gave in to those feelings and gave up,i knew i was just feeling unsure amp scared and so i let it overpower me and i gave in to those feelings and gave up,0.0
i feel so dumb witted because i feel like i dont understand his answers towards me,i feel so dumb witted because i feel like i dont understand his answers towards me,0.0
i feel most of the time i think i look pretty cute,i feel most of the time i think i look pretty cute,0.0
i feel so cluster fucked in my head,i feel so cluster fucked in my head,0.0
i am feeling to embarrassed about my body to take my son to the local pool i ll think of this poor woman and just rock the most scandalous piece of swimwear available,i am feeling to embarrassed about my body to take my son to the local pool i ll think of this poor woman and just rock the most scandalous piece of swimwear available,0.0
i miss not feeling guilt over so much stuff because i reacted in a terrible way or said no to my kids just for the sake of saying no,i miss not feeling guilt over so much stuff because i reacted in a terrible way or said no to my kids just for the sake of saying no,0.0
i feel like that wall is boring amp needs a pop of color,i feel like that wall is boring amp needs a pop of color,0.0
i feel so dismayed because i still have loads in miniature terms of weird pink clay left and didnt know what to do with it,i feel so dismayed because i still have loads in miniature terms of weird pink clay left and didnt know what to do with it,0.0
i feel this strategy is worthwhile,i feel this strategy is worthwhile,0.0
i feel that sometimes my lessons are too boring to post here buuuuuut i have a dear friend rach who is a new sunday school teacher and wanting to see what ive been doing so ill still post my lessons up here,i feel that sometimes my lessons are too boring to post here buuuuuut i have a dear friend rach who is a new sunday school teacher and wanting to see what ive been doing so ill still post my lessons up here,0.0
i finally realized that all i needed was to be and feel useful and blogging allowed me to do that,i finally realized that all i needed was to be and feel useful and blogging allowed me to do that,0.0
i also feel like maybe you dont want the real messy authentic mark,i also feel like maybe you dont want the real messy authentic mark,0.0
i don t feel you all the time and you re not always on my mind but i ve got you from time to time and i know the divine yes i know the divine it all began at mount sinai,i don t feel you all the time and you re not always on my mind but i ve got you from time to time and i know the divine yes i know the divine it all began at mount sinai,0.0
i am also feeling a bit bitchy about the way things are when we have conversations and others are around,i am also feeling a bit bitchy about the way things are when we have conversations and others are around,0.0
i had a go at it it said i was feeling paranoid lol,i had a go at it it said i was feeling paranoid lol,0.0
i am feeling a little rejected by my sister,i am feeling a little rejected by my sister,0.0
i just wanted the world to feel strange to me again,i just wanted the world to feel strange to me again,0.0
i feel you in every vain in every beating of my heart each breath i take pagetitle behind blue eyes,i feel you in every vain in every beating of my heart each breath i take pagetitle behind blue eyes,0.0
i couldn t take anymore i just wanted to lock myself in my room and not deal with it all and then in other ways it may me feel more passionate about taking photos,i couldn t take anymore i just wanted to lock myself in my room and not deal with it all and then in other ways it may me feel more passionate about taking photos,0.0
i am in true victim style feeling shamed for being me for having ptsd for going to them in good faith and then the symptoms of my trauma showing itself,i am in true victim style feeling shamed for being me for having ptsd for going to them in good faith and then the symptoms of my trauma showing itself,0.0
i am so connected with families that are not my own and i love them so much and so i feel blessed to find a family to be connected with on so many different levels,i am so connected with families that are not my own and i love them so much and so i feel blessed to find a family to be connected with on so many different levels,0.0
i am feeling the need to consolidate to step back and re evaluate the purpose of this blog other than providing a fabulous vicarious life for yall to live through my sarcasm does not always come across in print,i am feeling the need to consolidate to step back and re evaluate the purpose of this blog other than providing a fabulous vicarious life for yall to live through my sarcasm does not always come across in print,0.0
i have given said friend space distance talked to friend about problems given friend more space and now i am left with a sour friendship that will never be what it was and a feeling of being ignored,i have given said friend space distance talked to friend about problems given friend more space and now i am left with a sour friendship that will never be what it was and a feeling of being ignored,0.0
i am not going to wake up with a fucking headache like almost every day this week i am not going to feel needy and grabby and insecure like almost every day this week i am not going to be mean to myself like almost every day this week,i am not going to wake up with a fucking headache like almost every day this week i am not going to feel needy and grabby and insecure like almost every day this week i am not going to be mean to myself like almost every day this week,0.0
i stayed under the freezing stream maybe a few minutes longer than i would have otherwise enjoying the feeling of water over my abused body,i stayed under the freezing stream maybe a few minutes longer than i would have otherwise enjoying the feeling of water over my abused body,0.0
i believe just imagining what it would be like to act live in front of an audience will make me feel joyful,i believe just imagining what it would be like to act live in front of an audience will make me feel joyful,0.0
i feel i am kinda pissed off,i feel i am kinda pissed off,0.0
i am not an advocate for war but i feel reassured living close to a military base where there are people trained to assist in natural disasters,i am not an advocate for war but i feel reassured living close to a military base where there are people trained to assist in natural disasters,0.0
i feel has such a lovely touch,i feel has such a lovely touch,0.0
ive been feeling sentimental and i got these two faux diamond rings,ive been feeling sentimental and i got these two faux diamond rings,0.0
i need to feel like im accepted and that i matter and that im loved,i need to feel like im accepted and that i matter and that im loved,0.0
i feel so heartbroken but in a silly way of course,i feel so heartbroken but in a silly way of course,0.0
i feel pretty terrified immature and not ready,i feel pretty terrified immature and not ready,0.0
i was so scared of feeling stupid or unintelligent or why i felt like i wasnt smart enough,i was so scared of feeling stupid or unintelligent or why i felt like i wasnt smart enough,0.0
i feel sad about it,i feel sad about it,0.0
i knew yesterday that i was getting a cold but this morning i feel terrible,i knew yesterday that i was getting a cold but this morning i feel terrible,0.0
i not feel the tension that permeates the air in the calm before the storm,i not feel the tension that permeates the air in the calm before the storm,0.0
im so overwhelmed with feeling blessed by you i have to pray the fears of this being the last time i say happy birthday to you,im so overwhelmed with feeling blessed by you i have to pray the fears of this being the last time i say happy birthday to you,0.0
i do feel tender,i do feel tender,0.0
i smile people smile back and tell me they feel a little cheered up seeing me being jolly in the morning,i smile people smile back and tell me they feel a little cheered up seeing me being jolly in the morning,0.0
ive to admit im feeling excited yet so unprepared for the surgery,ive to admit im feeling excited yet so unprepared for the surgery,0.0
i am feeling a little overwhelmed by christmas knitting especially since i started cross stitching and thats taking half my free time i went idea shopping today though and i am starting to feel a little better about the situation,i am feeling a little overwhelmed by christmas knitting especially since i started cross stitching and thats taking half my free time i went idea shopping today though and i am starting to feel a little better about the situation,0.0
i liked just talking to someone and that butterfly like feeling you get when someone is sweet to you and it just felt nice to be noticed again,i liked just talking to someone and that butterfly like feeling you get when someone is sweet to you and it just felt nice to be noticed again,0.0
first anatomy lesson,first anatomy lesson,0.0
i feel determined to give this process a label,i feel determined to give this process a label,0.0
i feel so cranky right now,i feel so cranky right now,0.0
i have still been feeling numb i cant feel myself chewing or swallowing food,i have still been feeling numb i cant feel myself chewing or swallowing food,0.0
i walked away feeling triumphant with my first purchase of new make up finally done,i walked away feeling triumphant with my first purchase of new make up finally done,0.0
i feel friendly when i hate you,i feel friendly when i hate you,0.0
i dont sleep more and i am still waking a am but what this does is help me get off to sleep quicker and i feel like i am going into a deeper more relaxed sleep,i dont sleep more and i am still waking a am but what this does is help me get off to sleep quicker and i feel like i am going into a deeper more relaxed sleep,0.0
i wept with my grandparents who prayed for me by phone that i would feel gods presence to which i replied that i felt so punished,i wept with my grandparents who prayed for me by phone that i would feel gods presence to which i replied that i felt so punished,0.0
i don t always have access to when i m feeling stressed which is usually the time i am most in need of the silence,i don t always have access to when i m feeling stressed which is usually the time i am most in need of the silence,0.0
i was way up ahead of raphael and laiya jennifer had stayed behind to watch our stuff since i was feeling particularly energetic and scampering up the mountain,i was way up ahead of raphael and laiya jennifer had stayed behind to watch our stuff since i was feeling particularly energetic and scampering up the mountain,0.0
id be less than honest on this blog if i didnt report that im feeling very petty right now,id be less than honest on this blog if i didnt report that im feeling very petty right now,0.0
i am not too sure on how i feel about alec hes either innocent like he says he is or hes a damn good liar,i am not too sure on how i feel about alec hes either innocent like he says he is or hes a damn good liar,0.0
i posted about feeling like a super mom because i managed to care for myself my children my fiance and my house for one day while working and on little sleep,i posted about feeling like a super mom because i managed to care for myself my children my fiance and my house for one day while working and on little sleep,0.0
i should ask them to move but the movers were working full speed and i didnt feel like being bitchy,i should ask them to move but the movers were working full speed and i didnt feel like being bitchy,0.0
i feel so fucked up these days,i feel so fucked up these days,0.0
i feel so eager now to please,i feel so eager now to please,0.0
i feel that all music has some artistic value but with so much music out there is modern pop really worth investing your time in,i feel that all music has some artistic value but with so much music out there is modern pop really worth investing your time in,0.0
i was left feeling foolish all alone in the rain,i was left feeling foolish all alone in the rain,0.0
im feeling a bit smug that im doing a number of these things already walking and cycling advocacy lots of fruit and veggies and whole grains attending service every sunday,im feeling a bit smug that im doing a number of these things already walking and cycling advocacy lots of fruit and veggies and whole grains attending service every sunday,0.0
im not feeling fantastic is that i havent actually taken any time to rest,im not feeling fantastic is that i havent actually taken any time to rest,0.0
i feel so blessed to have met each and every one of them,i feel so blessed to have met each and every one of them,0.0
i can say that it is happening in the eastern part of the country and that i feel quite safe here,i can say that it is happening in the eastern part of the country and that i feel quite safe here,0.0
i see other people writing about love when they have just brokeup and finding another person in his her life i kinda feel so disgusted,i see other people writing about love when they have just brokeup and finding another person in his her life i kinda feel so disgusted,0.0
